"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:14 GMT 2023","1121","chromium","api-poc.spec.js","","","","Checks Approval status for product variant",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:14 GMT 2023","1107","chromium","api-poc.spec.js","","","","Checks maId is present",""
"passed","Mon Jan 08 14:45:41 GMT 2024","Mon Jan 08 14:45:48 GMT 2024","7101","chromium","poc.spec.js","","","","TC01_verifyRegistrationFromCheckoutPage",""
"passed","Mon Jan 08 14:45:41 GMT 2024","Mon Jan 08 14:45:46 GMT 2024","4931","chromium","poc.spec.js","","","","TC02_verifyLoginFromCheckoutPage",""
"passed","Mon Jan 08 14:45:41 GMT 2024","Mon Jan 08 14:45:48 GMT 2024","6959","chromium","poc.spec.js","","","","TC04_verifyRegistrationFieldValidationOnCheckout",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:15 GMT 2023","1987","chromium","api-poc.spec.js","","","","Test viax login with invalid credentials",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:15 GMT 2023","2207","chromium","api-poc.spec.js","","","","Test viax login with valid credentials",""
"passed","Mon Jan 08 17:43:47 GMT 2024","Mon Jan 08 17:43:59 GMT 2024","12868","chromium","poc.spec.js","","","","TC03_verifyLoginFromLoginPage",""
"passed","Wed Dec 27 14:36:14 GMT 2023","Wed Dec 27 14:36:15 GMT 2023","940","chromium","api-poc.spec.js","","","","Checks number of wClassificationAttributes",""
