"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 08 21:31:39 GMT 2024","Mon Jan 08 21:31:46 GMT 2024","7345","chromium","poc.spec.js","","","","TC01_verifyRegistrationFromCheckoutPage",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:14 GMT 2023","1121","chromium","api-poc.spec.js","","","","Checks Approval status for product variant",""
"passed","Mon Jan 08 21:31:52 GMT 2024","Mon Jan 08 21:31:56 GMT 2024","4673","chromium","poc.spec.js","","","","TC04_verifyRegistrationFieldValidationOnCheckout",""
"passed","Wed Dec 27 14:36:14 GMT 2023","Wed Dec 27 14:36:15 GMT 2023","940","chromium","api-poc.spec.js","","","","Checks number of wClassificationAttributes",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:14 GMT 2023","1107","chromium","api-poc.spec.js","","","","Checks maId is present",""
"failed","Mon Jan 08 21:31:49 GMT 2024","Mon Jan 08 21:31:51 GMT 2024","2324","chromium","poc.spec.js","","","","TC03_verifyLoginFromLoginPage",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:15 GMT 2023","2207","chromium","api-poc.spec.js","","","","Test viax login with valid credentials",""
"passed","Mon Jan 08 21:31:46 GMT 2024","Mon Jan 08 21:31:49 GMT 2024","3017","chromium","poc.spec.js","","","","TC02_verifyLoginFromCheckoutPage",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:15 GMT 2023","1987","chromium","api-poc.spec.js","","","","Test viax login with invalid credentials",""
