"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 23 04:01:07 GMT 2023","Sat Dec 23 04:01:10 GMT 2023","2632","chromium","poc.spec.js","","","","TC04_verifyRegistrationFieldValidationOnCheckout",""
"passed","Sat Dec 23 04:00:56 GMT 2023","Sat Dec 23 04:00:56 GMT 2023","472","chromium","api-poc.spec.js","","","","should create a bug report",""
"passed","Sat Dec 23 04:01:03 GMT 2023","Sat Dec 23 04:01:07 GMT 2023","3528","chromium","poc.spec.js","","","","TC03_verifyLoginFromLoginPage",""
"passed","Sat Dec 23 04:01:01 GMT 2023","Sat Dec 23 04:01:03 GMT 2023","2365","chromium","poc.spec.js","","","","TC02_verifyLoginFromCheckoutPage",""
"passed","Sat Dec 23 04:00:56 GMT 2023","Sat Dec 23 04:01:01 GMT 2023","4712","chromium","poc.spec.js","","","","TC01_verifyRegistrationFromCheckoutPage",""
