"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:14 GMT 2023","1107","chromium","api-poc.spec.js","","","","Checks maId is present",""
"passed","Wed Jan 03 19:32:11 GMT 2024","Wed Jan 03 19:32:13 GMT 2024","2290","chromium","poc.spec.js","","","","TC04_verifyRegistrationFieldValidationOnCheckout",""
"passed","Wed Jan 03 19:32:08 GMT 2024","Wed Jan 03 19:32:11 GMT 2024","3308","chromium","poc.spec.js","","","","TC03_verifyLoginFromLoginPage",""
"passed","Wed Jan 03 19:32:00 GMT 2024","Wed Jan 03 19:32:05 GMT 2024","5263","chromium","poc.spec.js","","","","TC01_verifyRegistrationFromCheckoutPage",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:15 GMT 2023","2207","chromium","api-poc.spec.js","","","","Test viax login with valid credentials",""
"passed","Wed Dec 27 14:36:14 GMT 2023","Wed Dec 27 14:36:15 GMT 2023","940","chromium","api-poc.spec.js","","","","Checks number of wClassificationAttributes",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:14 GMT 2023","1121","chromium","api-poc.spec.js","","","","Checks Approval status for product variant",""
"passed","Wed Jan 03 19:32:05 GMT 2024","Wed Jan 03 19:32:08 GMT 2024","2459","chromium","poc.spec.js","","","","TC02_verifyLoginFromCheckoutPage",""
"passed","Wed Dec 27 14:36:13 GMT 2023","Wed Dec 27 14:36:15 GMT 2023","1987","chromium","api-poc.spec.js","","","","Test viax login with invalid credentials",""
